property_type,society,sector,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,others,store room,pooja room,servant room,study room,furnishing_type,luxury_score
flat,smart world gems,sector 89,1.16,8152.0,1423.0,Carpet area: 1423 (132.2 sq.m.),3,3,2,3.0,South-East,Undefined,,,1423.0,0,0,0,0,1,1,68
flat,mvn athens,sohna road,0.26,5394.0,482.0,Carpet area: 481.74 (44.76 sq.m.),2,2,1,2.0,not available,Relatively New,,,481.792164,0,0,0,0,0,1,37
flat,bhagwati sadan,sector 12,1.15,5500.0,2091.0,Built Up area: 2000 (185.81 sq.m.),3,4,2,2.0,not available,Old Property,,2000.0,,1,0,0,1,0,1,0
house,ss hibiscus,sector 50,12.5,29549.0,4230.2127,Plot area 470(392.98 sq.m.)Built Up area: 410 sq.yards (342.81 sq.m.)Carpet area: 340 sq.yards (284.28 sq.m.),4,4,3+,2.0,West,Relatively New,,410.0,340.0,0,0,0,1,1,2,160
flat,la vida by tata housing,sector 113,1.38,10222.0,1350.0,Super Built up area 1573(146.14 sq.m.)Built Up area: 1350 sq.ft. (125.42 sq.m.)Carpet area: 1150 sq.ft. (106.84 sq.m.),2,2,3,8.0,South-West,New Property,1573.0,1350.0,1150.0,0,0,0,0,1,1,174
house,independent,sector 4,3.3,14669.0,2249.6551,Plot area 250(209.03 sq.m.),3,3,2,1.0,North-East,Old Property,,2250.0,,0,0,0,0,0,1,34
flat,dlf new town heights,sector 86,1.54,5785.0,2662.0,Super Built up area 2364(219.62 sq.m.),4,4,3+,21.0,North-West,Moderately Old,2364.0,,,0,0,1,1,1,0,80
flat,dlf regency park,sector 28,1.35,11739.0,1150.0,Super Built up area 1150(106.84 sq.m.)Built Up area: 1120 sq.ft. (104.05 sq.m.)Carpet area: 1050 sq.ft. (97.55 sq.m.),2,2,2,14.0,East,Old Property,1150.0,1120.0,1050.0,0,1,0,0,0,0,66
flat,puri the aravallis,sector 61,3.9,33220.0,1174.0,Carpet area: 1249.65 (116.1 sq.m.),3,4,3+,33.0,South,Undefined,,,1249.68879,0,0,0,1,0,1,158
house,independent,sector 14,7.5,16590.0,4520.838,Plot area 502(419.74 sq.m.),3,3,2,1.0,West,Old Property,,4518.0,,0,0,1,1,1,0,27
flat,sare crescent parc,sector 92,0.51,4080.0,1250.0,Super Built up area 1250(116.13 sq.m.),3,2,2,2.0,North,Relatively New,1250.0,,,0,0,0,0,0,1,72
flat,emaar imperial gardens,sector 102,1.92,9600.0,2000.0,Carpet area: 2000 (185.81 sq.m.),3,3,3,12.0,North-East,Relatively New,,,2000.0,0,1,1,1,1,1,95
house,independent,sector 14,4.6,20448.0,2249.6551,Built Up area: 2250 (209.03 sq.m.),1,1,0,1.0,not available,Undefined,,2250.0,,0,0,0,0,0,0,0
flat,palam vihar society,sector 2,0.4,8602.0,465.0,Super Built up area 465(43.2 sq.m.)Built Up area: 450 sq.ft. (41.81 sq.m.)Carpet area: 425 sq.ft. (39.48 sq.m.),1,1,1,5.0,North,Moderately Old,465.0,450.0,425.0,0,0,0,0,0,0,39
