property_type,society,sector,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,others,store room,pooja room,servant room,study room,furnishing_type,luxury_score
house,independent,sector 46,2.25,24510.0,914.9314999999999,Plot area 102(85.28 sq.m.)Built Up area: 90 sq.yards (75.25 sq.m.)Carpet area: 85 sq.yards (71.07 sq.m.),4,3,3,3.0,North-East,Relatively New,,90.0,85.0,0,0,0,0,1,0,35
house,independent,sector 26,15.0,33200.0,4520.838,Plot area 502(419.74 sq.m.),5,6,3+,3.0,North,Moderately Old,,4518.0,,0,1,1,1,1,0,78
house,emaar mgf marbella,sector 66,12.0,38095.0,3153.8226999999997,Plot area 350(292.64 sq.m.),5,6,3+,4.0,North-East,New Property,,3150.0,,0,0,1,1,0,1,38
house,unitech espace,sector 50,10.45,32253.0,3239.9339,Plot area 360(301.01 sq.m.),5,7,3+,3.0,not available,Moderately Old,,3240.0,,1,0,1,1,1,0,153
house,ansal sushant lok,sector 43,10.5,27911.0,3767.365,Plot area 418(349.5 sq.m.),4,4,2,,North-East,Old Property,,3762.0,,0,0,0,1,0,1,59
house,floor wise designer kothi,sector 25,13.0,48148.0,2701.7389,Plot area 300(250.84 sq.m.),12,16,3+,4.0,North-East,New Property,,2700.0,,0,1,1,1,1,0,144
house,dlf city phase,sector 26,5.5,30556.0,1797.5712999999998,Plot area 200(167.23 sq.m.),4,4,3,2.0,North-East,Moderately Old,,1800.0,,0,0,1,1,1,1,69
house,independent,sector 43,3.35,26973.0,1237.8485,Plot area 138(115.39 sq.m.),1,1,0,1.0,East,Old Property,,1242.0,,0,0,0,0,0,0,9
house,independent,sector 54,3.75,234375.0,1440.0,Plot area 160(14.86 sq.m.),4,4,3,3.0,East,Moderately Old,,1440.0,,0,0,0,1,0,0,13
house,independent,sector 26,5.8,32222.0,1797.5712999999998,Plot area 200(167.23 sq.m.),4,3,2,2.0,East,Relatively New,,1800.0,,0,1,0,0,0,1,21
house,independent,sector 57,8.0,266666.0,2700.0,Plot area 300(27.87 sq.m.),5,4,3,2.0,North,Relatively New,,2700.0,,0,0,1,1,1,1,21
house,independent,sector 41,4.25,26235.0,1625.3489,Plot area 180(150.5 sq.m.),10,9,3+,4.0,North,Moderately Old,,1620.0,,0,0,0,1,1,0,36
flat,breez global hill view,sohna road,2.6,46917.0,554.0,Carpet area: 554.16 (51.48 sq.m.),2,2,2,6.0,not available,New Property,,,554.1255719999999,0,0,0,0,0,0,42
house,nul,sector 28,12.5,51440.0,2432.6414,Plot area 270(225.75 sq.m.),16,17,3+,4.0,South,Relatively New,,2430.0,,1,0,1,1,1,2,137
house,independent,sector 105,0.55,98214.0,53.8195,Built Up area: 56 (5.2 sq.m.),4,4,0,2.0,not available,Undefined,,56.0,,0,0,0,0,0,1,0
house,independent,sector 24,4.5,33333.0,1463.8904,Plot area 163(136.29 sq.m.)Built Up area: 160 sq.yards (133.78 sq.m.)Carpet area: 150 sq.yards (125.42 sq.m.),10,8,3+,4.0,East,Relatively New,,160.0,150.0,0,1,0,1,0,0,56
house,independent,sector 43,9.85,29638.0,3767.365,Plot area 418(349.5 sq.m.),5,5,2,3.0,West,Old Property,,3762.0,,0,0,1,1,1,0,21
house,bptp astaire gardens,sector 70a,6.5,27871.0,2690.975,Plot area 299(250 sq.m.),4,4,3+,2.0,North-East,New Property,,2691.0,,0,0,1,1,1,0,160
house,independent,sector 26,15.0,33333.0,4499.3102,Built Up area: 4500 (418.06 sq.m.),4,4,3,3.0,not available,Moderately Old,,4500.0,,0,1,0,1,0,0,36
house,unitech espace,sector 50,11.5,35494.0,3239.9339,Built Up area: 3240 (301.01 sq.m.),5,6,0,1.0,North-West,Undefined,,3240.0,,0,0,0,0,0,1,0
house,independent,sector 31,4.6,32258.0,1420.8347999999999,Built Up area: 1426 (132.48 sq.m.)Carpet area: 1069 sq.ft. (99.31 sq.m.),2,2,2,2.0,East,Undefined,,1426.0,1069.0,0,0,0,0,0,0,0
house,independent,sector 46,3.6,24845.0,1453.1264999999999,Plot area 161(134.62 sq.m.),5,5,3+,3.0,South-East,Moderately Old,,1449.0,,0,0,0,1,0,0,75
house,independent,sector 41,9.0,27778.0,3239.9339,Plot area 360(301.01 sq.m.),8,5,3+,3.0,not available,Old Property,,3240.0,,0,1,1,1,0,0,26
house,independent,sector 43,3.0,53763.0,559.7228,Plot area 62(51.84 sq.m.),12,12,3+,5.0,West,New Property,,558.0,,1,0,0,0,0,2,20
house,dlf city plots,sector 26,13.5,29880.0,4520.838,Plot area 502(419.74 sq.m.),5,5,2,2.0,East,Moderately Old,,4518.0,,1,0,0,1,1,0,104
house,adani brahma samsara,sector 60,18.02,28200.0,6393.7566,Built Up area: 6390 (593.65 sq.m.),9,12,3+,3.0,North-East,Relatively New,,6390.0,,0,0,0,1,0,0,146
house,unitech escape,sector 50,12.0,37037.0,3239.9339,Carpet area: 360 (301.01 sq.m.),5,6,3+,3.0,East,Undefined,,,360.0,0,0,0,0,0,1,66
house,sushant lok builder floors,sector 43,6.25,30728.0,2034.3771,Plot area 226(188.96 sq.m.),7,7,3+,3.0,North,Moderately Old,,2034.0,,0,1,0,1,1,0,46
house,luxury dlf city floors,sector 26,8.25,45833.0,1797.5712999999998,Plot area 200(167.23 sq.m.),12,12,3+,4.0,North,New Property,,1800.0,,0,0,0,1,0,0,105
house,independent,sector 55,5.0,44444.0,1130.2095,Plot area 125(104.52 sq.m.)Built Up area: 115 sq.yards (96.15 sq.m.)Carpet area: 100 sq.yards (83.61 sq.m.),9,9,3+,5.0,East,New Property,,115.0,100.0,1,0,0,0,0,0,44
house,independent,sector 57,6.95,38611.0,1732.9878999999999,Plot area 192(160.54 sq.m.),12,12,3+,4.0,East,New Property,,1728.0,,0,1,0,1,0,0,73
house,dlf city plots,sector 26,17.0,37627.0,4520.838,Plot area 502(419.74 sq.m.),5,6,3,2.0,North-West,Old Property,,4518.0,,0,1,1,1,0,0,87
house,independent,sector 13,0.5,90909.0,495.0,Plot area 55(5.11 sq.m.),12,4,3,4.0,not available,Old Property,,495.0,,0,0,0,0,0,0,15
house,independent,sector 50,7.0,32407.0,2163.5439,Built Up area: 240 (200.67 sq.m.),3,2,0,1.0,not available,Undefined,,240.0,,0,0,0,0,0,1,0
flat,unitech vistas,sector 70,9.0,57507.0,1565.0,Built Up area: 1565 (145.39 sq.m.),3,3,0,7.0,not available,Undefined,,1565.0,,0,0,0,0,0,0,0
house,independent,sector 43,9.5,42222.0,2723.2666999999997,Plot area 302(252.51 sq.m.)Built Up area: 300 sq.yards (250.84 sq.m.)Carpet area: 250 sq.yards (209.03 sq.m.),5,5,3+,2.0,North-East,Relatively New,,300.0,250.0,0,0,1,1,0,0,88
house,anant raj estates,sector 63a,8.5,27139.0,3132.2949,Plot area 348(290.97 sq.m.),6,6,3+,3.0,East,Under Construction,,3132.0,,0,1,1,0,0,0,29
house,unitech espace,sector 50,7.35,41762.0,2163.5439,Plot area 240(200.67 sq.m.),4,4,3+,3.0,South,Moderately Old,,2160.0,,0,0,1,1,0,0,52
flat,dlf the grove,sector 43,6.0,25000.0,2400.0,Carpet area: 2400 (222.97 sq.m.),4,4,2,1.0,South-West,Undefined,,,2400.0,0,0,0,1,0,0,49
house,sector rwa,sector 38,4.3,28782.0,1496.1821,Plot area 166(138.8 sq.m.)Built Up area: 165 sq.yards (137.96 sq.m.)Carpet area: 164 sq.yards (137.12 sq.m.),9,9,3+,3.0,East,Relatively New,,165.0,164.0,1,0,1,0,0,0,41
house,suncity township,sector 54,2.0,30968.0,645.834,Plot area 60Built Up area: 60 sq.m.Carpet area: 59 sq.m.,9,9,3,11.0,North,Relatively New,,60.0,59.0,0,0,0,1,0,2,7
house,independent,sector 24,3.25,30384.0,9626.670000000002,Plot area 1069.63(99.37 sq.m.),4,4,3,3.0,not available,Old Property,,9626.670000000002,,0,0,0,0,0,0,15
house,independent,sector 25,13.5,37313.0,3616.6704,Plot area 402(336.12 sq.m.),5,6,3+,4.0,North-East,Old Property,,3618.0,,1,0,0,0,0,0,79
